项集 0: Social, Media
项集 143: CoRR, Deep
项集 144: Learning, CoRR
项集 145: and, Deep
项集 146: Learning, Deep
项集 147: for, Features
项集 148: of, Influence
项集 149: of, Influence
项集 150: of, of, Influence
项集 151: for, Statistical
项集 152: of, Statistical
项集 153: Model, IEEE Access
项集 154: An, IEEE Access
项集 155: the, IEEE Access
项集 156: for, IEEE Access
项集 157: A, IEEE Access
项集 158: and, IEEE Access
项集 159: Based, IEEE Access
项集 160: of, IEEE Access
项集 161: and, the
项集 162: the, the
项集 163: of, the
项集 164: for, the
项集 165: A, the
项集 166: for, A
项集 167: of, A
项集 168: of, the
项集 169: of, of
项集 170: of, Rapid
项集 171: The, impact
项集 172: of, The
项集 173: of, The
项集 174: of, of, The
项集 175: of, impact
项集 176: for, ISCAS
项集 177: A, ISCAS
项集 178: of, Energy
项集 179: of, Characterization
项集 180: of, Characterization
项集 181: of, of, Characterization
项集 182: for, Algorithms
项集 183: the, Between
项集 184: the, Between
项集 185: the, the, Between
项集 186: a, Control
项集 187: and, Control
项集 188: for, Control
项集 189: Adaptive, Control
项集 190: of, Control
项集 191: for, Ensemble
项集 192: of, management
项集 193: for, management
项集 194: CoRR, Networks
项集 195: for, Networks
项集 196: and, classification
项集 197: of, IEEE Trans. Commun.
项集 198: for, IEEE Trans. Commun.
项集 199: for, IEEE Commun. Lett.
项集 200: and, Social
项集 201: of, Social
项集 202: in, Social
项集 203: for, parallel
项集 204: for, Adaptation
项集 205: for, procedure
项集 206: A, procedure
项集 207: for, Graph
项集 208: CoRR, Graph
项集 209: A, Graph
项集 210: networks, neural
项集 211: Correction, to:
项集 212: A, general
项集 213: for, signal
项集 214: for, Embedded
项集 215: of, 3D
项集 216: CoRR, 3D
项集 217: for, ICC
项集 218: A, Database
项集 219: for, CVPR
项集 220: and, IGARSS
项集 221: of, IGARSS
项集 222: and, Estimation
项集 223: for, Estimation
项集 224: the, Estimation
项集 225: of, Estimation
项集 226: in, Estimation
项集 227: of, comprehensive
项集 228: of, systems
项集 229: and, systems
项集 230: for, algorithms
项集 231: and, Scalable
项集 232: A, Time
项集 233: for, Strategies
项集 234: A, IEEE J. Solid State Circuits
项集 235: of, Neural
项集 236: CoRR, of
项集 237: and, Neural
项集 238: CoRR, Neural
项集 239: Network, CoRR
项集 240: Network, Neural
项集 241: Deep, Neural
项集 242: for, Neural
项集 243: CoRR, for
项集 244: Network, for
项集 245: A, Neural
项集 246: Network, A
项集 247: of, Tracking
项集 248: for, Ontology
项集 249: and, Integrating
项集 250: A, Memory
项集 251: for, Management
项集 252: in, Management
项集 253: of, Management
项集 254: for, Optimization
项集 255: CoRR, Optimization
项集 256: and, Optimization
项集 257: in, Optimization
项集 258: of, Optimization
项集 259: for, IEEE Trans. Veh. Technol.
项集 260: in, IEEE Trans. Veh. Technol.
项集 261: An, method
项集 262: for, An
项集 263: of, method
项集 264: for, method
项集 265: A, for
项集 266: A, method
项集 267: the, IEEE Commun. Mag.
项集 268: for, Coding
项集 269: and, Fuzzy
项集 270: Evaluation, Performance
项集 271: of, Evaluation
项集 272: the, Performance
项集 273: of, the
项集 274: and, Performance
项集 275: of, and
项集 276: Analysis, Performance
项集 277: of, Analysis
项集 278: of, Performance
项集 279: of, of
项集 280: for, optimization
项集 281: of, optimization
项集 282: CoRR, Complexity
项集 283: of, Complexity
项集 284: of, Validation
项集 285: for, image
项集 286: CoRR, Based
项集 287: of, Based
项集 288: on, Based
项集 289: Learning, Based
项集 290: An, Based
项集 291: for, Based
项集 292: A, Based
项集 293: of, Identification
项集 294: of, Identification
项集 295: of, of, Identification
项集 296: of, Bioinform.
项集 297: for, Bioinform.
项集 298: An, Method
项集 299: on, Method
项集 300: Based, Method
项集 301: CoRR, Method
项集 302: for, Method
项集 303: A, for
项集 304: A, Method
项集 305: CoRR, Generative
项集 306: CoRR, An
项集 307: for, CoRR
项集 308: of, An
项集 309: and, An
项集 310: on, An
项集 311: for, An
项集 312: to, An
项集 313: the, An
项集 314: for, the
项集 315: Model, Checking
项集 316: of, Properties
项集 317: in, Service
项集 318: of, Segmentation
项集 319: for, Quality
项集 320: of, Quality
项集 321: Data, Quality
项集 322: of, Spatial
项集 323: for, Spatial
项集 324: the, between
项集 325: and, between
项集 326: the, Data
项集 327: CoRR, Data
项集 328: with, Data
项集 329: and, Data
项集 330: Based, Data
项集 331: of, Data
项集 332: on, Data
项集 333: A, Data
项集 334: for, Data
项集 335: for, Models
项集 336: for, Models
项集 337: for, for, Models
项集 338: for, methods
项集 339: for, scheduling
项集 340: for, Semantic
项集 341: A, Semantic
项集 342: a, approach
项集 343: An, approach
项集 344: to, An
项集 345: to, approach
项集 346: A, to
项集 347: for, approach
项集 348: A, for
项集 349: A, approach
项集 350: in, Challenges
项集 351: and, Stability
项集 352: Analysis, Stability
项集 353: of, Stability
项集 354: of, Simulation
项集 355: for, Application
项集 356: of, Application
项集 357: A, scheme
项集 358: A, system
项集 359: for, system
项集 360: of, system
项集 361: for, detection
项集 362: in, detection
项集 363: of, detection
项集 364: Neural, Convolutional
项集 365: CoRR, Convolutional
项集 366: of, Exploring
项集 367: the, Exploring
项集 368: of, processing
项集 369: for, Video
项集 370: CoRR, Using
项集 371: A, Using
项集 372: and, Using
项集 373: of, Using
项集 374: for, Using
项集 375: to, Using
项集 376: the, Using
项集 377: An, Empirical
项集 378: of, Improving
项集 379: the, of
项集 380: for, Improving
项集 381: the, Improving
项集 382: of, Experimental
项集 383: of, segmentation
项集 384: Learning, Reinforcement
项集 385: for, Tools
项集 386: and, performance
项集 387: analysis, performance
项集 388: of, performance
项集 389: and, Classification
项集 390: on, Classification
项集 391: CoRR, Classification
项集 392: Using, Classification
项集 393: of, Classification
项集 394: of, EUSIPCO
项集 395: of, PIMRC
项集 396: of, role
项集 397: of, Extraction
项集 398: for, estimation
项集 399: in, Systems
项集 400: of, Systems
项集 401: for, and
项集 402: A, and
项集 403: of, and
项集 404: and, Knowledge
项集 405: in, Knowledge
项集 406: of, Knowledge
项集 407: and, Adaptive
项集 408: An, Adaptive
项集 409: with, Adaptive
项集 410: of, Adaptive
项集 411: for, Adaptive
项集 412: CoRR, Adaptive
项集 413: A, Adaptive
项集 414: of, IROS
项集 415: for, IROS
项集 416: CoRR, from
项集 417: the, from
项集 418: for, Appl. Math. Comput.
项集 419: of, Appl. Math. Comput.
项集 420: and, Image
项集 421: for, Image
项集 422: Using, Image
项集 423: for, Secure
项集 424: for, Open
项集 425: of, Investigation
项集 426: of, Investigation
项集 427: of, of, Investigation
项集 428: of, Digital
项集 429: for, Digital
项集 430: and, Development
项集 431: of, and
项集 432: a, Development
项集 433: of, a
项集 434: of, Development
项集 435: International, Conference
项集 436: on, Conference
项集 437: International, on, Conference
项集 438: Design, Implementation
项集 439: and, Design
项集 440: of, Design
项集 441: and, of, Design
项集 442: and, Implementation
项集 443: of, and
项集 444: of, Implementation
项集 445: A, Modeling
项集 446: for, Modeling
项集 447: the, Modeling
项集 448: of, Modeling
项集 449: and, Modeling
项集 450: of, and
项集 451: for, new
项集 452: A, for
项集 453: A, new
项集 454: a, new
项集 455: the, Impact
项集 456: of, the
项集 457: of, the
项集 458: of, of, the
项集 459: on, Impact
项集 460: of, on
项集 461: of, Impact
项集 462: A, fast
项集 463: and, Remote. Sens.
项集 464: of, Remote. Sens.
项集 465: Analysis, Comparative
项集 466: of, Analysis
项集 467: of, Comparative
项集 468: for, sensor
项集 469: A, Hybrid
项集 470: for, Hybrid
项集 471: An, Hybrid
项集 472: of, data
项集 473: of, Unsupervised
项集 474: for, Unsupervised
项集 475: of, Methods
项集 476: of, International
项集 477: the, of
项集 478: the, International
项集 479: on, International
项集 480: with, ACC
项集 481: of, ACC
项集 482: for, ACC
项集 483: control, ACC
项集 484: for, Linear
项集 485: and, Fast
项集 486: of, Fast
项集 487: CoRR, Fast
项集 488: A, Fast
项集 489: of, Novel
项集 490: for, Novel
项集 491: A, for
项集 492: A, Novel
项集 493: Semantic, Web
项集 494: A, IEEE Trans. Circuits Syst. I Regul. Pap.
项集 495: and, Sensing
项集 496: of, study
项集 497: on, study
项集 498: the, study
项集 499: A, study
项集 500: of, A
项集 501: of, Theor. Comput. Sci.
项集 502: for, linear
项集 503: of, Computing
项集 504: for, Computing
项集 505: for, Sparse
项集 506: for, Bayesian
项集 507: A, Bayesian
项集 508: CoRR, Bayesian
项集 509: a, Evaluation
项集 510: of, a
项集 511: and, Evaluation
项集 512: of, and
项集 513: An, Evaluation
项集 514: of, Evaluation
项集 515: the, Evaluation
项集 516: of, the
项集 517: A, Evaluation
项集 518: for, Evaluation
项集 519: and, Efficient
项集 520: An, Efficient
项集 521: in, Efficient
项集 522: for, Efficient
项集 523: CoRR, Efficient
项集 524: of, Efficient
项集 525: of, Numerical
项集 526: of, Numerical
项集 527: of, of, Numerical
项集 528: for, Language
项集 529: A, Language
项集 530: for, Test
项集 531: of, Testing
项集 532: of, Logic
项集 533: of, Proceedings
项集 534: the, Proceedings
项集 535: of, the, Proceedings
项集 536: International, Proceedings
项集 537: of, International, Proceedings
项集 538: the, International, Proceedings
项集 539: of, the, International, Proceedings
项集 540: and, Network
项集 541: of, Network
项集 542: A, Network
项集 543: CoRR, A
项集 544: for, Network
项集 545: CoRR, for
项集 546: CoRR, Network
项集 547: A, For
项集 548: A, For
项集 549: A, A, For
项集 550: CoRR, On
项集 551: of, CoRR
项集 552: the, of
项集 553: the, of
项集 554: the, the, of
项集 555: the, CoRR
项集 556: and, On
项集 557: a, On
项集 558: for, On
项集 559: in, On
项集 560: of, On
项集 561: the, of
项集 562: the, of
项集 563: the, the, of
项集 564: the, On
项集 565: the, the
项集 566: for, model
项集 567: A, for
项集 568: A, model
项集 569: of, model
项集 570: for, IEEE Trans. Wirel. Commun.
项集 571: for, Hierarchical
项集 572: An, Approach
项集 573: to, An
项集 574: for, An
项集 575: to, Approach
项集 576: A, to
项集 577: for, Approach
项集 578: A, for
项集 579: A, Approach
项集 580: for, Scheduling
项集 581: Based, Recognition
项集 582: and, Recognition
项集 583: of, J. Intell. Fuzzy Syst.
项集 584: for, Power
项集 585: A, Power
项集 586: of, Power
项集 587: with, The
项集 588: CoRR, The
项集 589: of, CoRR
项集 590: a, The
项集 591: of, a
项集 592: and, The
项集 593: of, and
项集 594: on, The
项集 595: in, The
项集 596: for, The
项集 597: the, The
项集 598: of, the
项集 599: of, The
项集 600: An, integrated
项集 601: of, Access
项集 602: for, Access
项集 603: Detection, Anomaly
项集 604: for, Automatic
项集 605: of, Automatic
项集 606: in, Resource
项集 607: for, Resource
项集 608: of, NeuroImage
项集 609: of, in
项集 610: and, in
项集 611: A, in
项集 612: for, in
项集 613: the, in
项集 614: of, Generation
项集 615: for, Representation
项集 616: for, Integrated
项集 617: An, algorithm
项集 618: for, algorithm
项集 619: A, algorithm
项集 620: for, A
项集 621: of, System
项集 622: and, System
项集 623: A, System
项集 624: for, System
项集 625: A, for
项集 626: of, Distributed
项集 627: in, Distributed
项集 628: A, Distributed
项集 629: CoRR, Distributed
项集 630: for, Distributed
项集 631: of, Improvement
项集 632: of, implementation
项集 633: of, J. Appl. Math.
项集 634: to, From
项集 635: of, Algorithm
项集 636: An, Algorithm
项集 637: for, Algorithm
项集 638: A, for
项集 639: to, Algorithm
项集 640: on, Algorithm
项集 641: the, Algorithm
项集 642: A, Algorithm
项集 643: of, Robot
项集 644: of, Discret. Math.
项集 645: and, power
项集 646: to, approaches
项集 647: for, approaches
项集 648: a, as
项集 649: of, Real-Time
项集 650: of, CDC
项集 651: and, CDC
项集 652: A, CDC
项集 653: for, CDC
项集 654: An, Model
项集 655: of, Model
项集 656: CoRR, Model
项集 657: Using, Model
项集 658: for, Model
项集 659: A, Model
项集 660: for, A
项集 661: the, Evaluating
项集 662: the, Evaluating
项集 663: the, the, Evaluating
项集 664: for, software
项集 665: and, Security
项集 666: the, Security
项集 667: in, Security
项集 668: of, Security
项集 669: on, Research
项集 670: of, Research
项集 671: of, Prediction
项集 672: An, Study
项集 673: of, Study
项集 674: the, Study
项集 675: on, the
项集 676: A, Study
项集 677: of, A
项集 678: on, A
项集 679: on, Study
项集 680: of, network
项集 681: for, Virtual
项集 682: for, Design
项集 683: A, Design
项集 684: The, Design
项集 685: the, Design
项集 686: of, the
项集 687: and, Design
项集 688: of, and
项集 689: a, Design
项集 690: of, a
项集 691: and, a
项集 692: of, and, a
项集 693: of, Design
项集 694: and, Information
项集 695: CoRR, Information
项集 696: for, Information
项集 697: of, Information
项集 698: in, Information
项集 699: and, a
项集 700: of, and
项集 701: of, a
项集 702: in, a
项集 703: for, a
项集 704: CoRR, a
项集 705: the, a
项集 706: and, Symmetry
项集 707: for, Dynamic
项集 708: A, Dynamic
项集 709: of, Dynamic
项集 710: in, Dynamic
项集 711: for, Expert Syst. Appl.
项集 712: of, with
项集 713: and, with
项集 714: a, with
项集 715: A, with
项集 716: the, with
项集 717: CoRR, with
项集 718: of, INTERSPEECH
项集 719: and, INTERSPEECH
项集 720: a, to
项集 721: of, to
项集 722: and, to
项集 723: the, to
项集 724: A, the
项集 725: A, to
项集 726: CoRR, to
项集 727: A, CoRR
项集 728: for, A
项集 729: of, A
项集 730: in, CoRR
项集 731: of, in
项集 732: for, CoRR
项集 733: the, CoRR
项集 734: of, the
项集 735: in, the
项集 736: and, CoRR
项集 737: of, and
项集 738: of, CoRR
项集 739: for, Towards
项集 740: CoRR, Towards
项集 741: a, Towards
项集 742: in, Towards
项集 743: of, Towards
项集 744: of, for
项集 745: An, Improved
项集 746: the, Solving
项集 747: of, Determination
项集 748: of, Determination
项集 749: of, of, Determination
项集 750: of, adaptive
项集 751: of, Understanding
项集 752: to, New
项集 753: for, New
项集 754: A, for
项集 755: A, New
项集 756: A, Framework
项集 757: for, A
项集 758: for, Framework
项集 759: for, Online
项集 760: A, Analysis
项集 761: of, A
项集 762: the, Analysis
项集 763: of, the
项集 764: of, the
项集 765: of, of, the
项集 766: on, Analysis
项集 767: in, Analysis
项集 768: of, in
项集 769: for, Analysis
项集 770: a, Analysis
项集 771: of, a
项集 772: Using, Analysis
项集 773: and, Analysis
项集 774: of, and
项集 775: of, Analysis
项集 776: of, Joint
项集 777: and, Joint
项集 778: An, analysis
项集 779: and, analysis
项集 780: of, and
项集 781: of, analysis
项集 782: the, analysis
项集 783: of, the
项集 784: A, analysis
项集 785: for, analysis
项集 786: for, Computer
项集 787: CoRR, Detection
项集 788: and, Detection
项集 789: Using, Detection
项集 790: for, Detection
项集 791: in, Detection
项集 792: of, Detection
项集 793: A, Class
项集 794: of, Class
项集 795: for, Solution
项集 796: for, Neurocomputing
项集 797: of, Effects
项集 798: on, Effects
项集 799: for, allocation
项集 800: and, Use
项集 801: of, Use
项集 802: Home, Page
项集 803: of, information
项集 804: for, Allocation
项集 805: for, Modelling
项集 806: of, Modelling
项集 807: CoRR, using
项集 808: of, using
项集 809: of, by
项集 810: in, on
项集 811: and, on
项集 812: of, on
项集 813: the, of
项集 814: a, on
项集 815: CoRR, on
项集 816: the, on
项集 817: A, the
项集 818: A, on
项集 819: of, Shape
项集 820: A, novel
项集 821: and, Sensors
项集 822: A, Sensors
项集 823: for, Sensors
项集 824: of, Sensors
项集 825: Artificial, Intelligence
项集 826: of, Evolution
项集 827: on, Survey
项集 828: A, on
项集 829: of, Survey
项集 830: A, of
项集 831: CoRR, Survey
项集 832: on, CoRR
项集 833: A, Survey
项集 834: and, modeling
项集 835: of, modeling
项集 836: for, Optimal
项集 837: and, Optimal
项集 838: of, Optimal
项集 839: A, Learning
项集 840: a, Learning
项集 841: CoRR, Learning
项集 842: of, Learning
项集 843: CoRR, of
项集 844: and, Learning
项集 845: for, Learning
项集 846: CoRR, for
项集 847: to, Learning
项集 848: in, Learning
项集 849: the, Learning
项集 850: with, Learning
项集 851: for, control
项集 852: and, control
项集 853: Adaptive, control
项集 854: of, control
项集 855: for, Optimized
项集 856: on, based
项集 857: of, based
项集 858: CoRR, based
项集 859: for, based
项集 860: A, based
